set,k,QQ,x_b,t,phi_x,F,sigmaF,Mean F Prediction,Std Dev Prediction,ReH_pred,ReH_std,ReE_pred,ReE_std,ReHt_pred,ReHt_std,dvcs_pred,dvcs_std
4,5.75,1.986,0.379,-0.323,127.5,0.0255,0.0024,0.02396918,0.0016642725,-1.4655145,0.26795578,-1.4612726,0.25032613,-1.8042858,0.41473326,0.009828647,0.0016085079
4,5.75,1.986,0.379,-0.323,142.5,0.0224,0.00228,0.022753917,0.0016802312,-1.4655145,0.26795578,-1.4612726,0.25032613,-1.8042858,0.41473326,0.009828647,0.0016085079
4,5.75,1.986,0.379,-0.323,157.5,0.0213,0.00252,0.021992924,0.0016873069,-1.4655145,0.26795578,-1.4612726,0.25032613,-1.8042858,0.41473326,0.009828647,0.0016085079
4,5.75,1.986,0.379,-0.323,172.5,0.0174,0.0024,0.02162643,0.0016897888,-1.4655145,0.26795578,-1.4612726,0.25032613,-1.8042858,0.41473326,0.009828647,0.0016085079
4,5.75,1.986,0.379,-0.323,187.5,0.0214,0.00252,0.02162643,0.0016897888,-1.4655145,0.26795578,-1.4612726,0.25032613,-1.8042858,0.41473326,0.009828647,0.0016085079
4,5.75,1.986,0.379,-0.323,202.5,0.0225,0.00252,0.021992924,0.0016873069,-1.4655145,0.26795578,-1.4612726,0.25032613,-1.8042858,0.41473326,0.009828647,0.0016085079
4,5.75,1.986,0.379,-0.323,217.5,0.0251,0.00252,0.022753917,0.0016802312,-1.4655145,0.26795578,-1.4612726,0.25032613,-1.8042858,0.41473326,0.009828647,0.0016085079
4,5.75,1.986,0.379,-0.323,232.5,0.026,0.00252,0.02396918,0.0016642727,-1.4655145,0.26795578,-1.4612726,0.25032613,-1.8042858,0.41473326,0.009828647,0.0016085079
4,5.75,1.986,0.379,-0.323,247.5,0.0305,0.00288,0.025737638,0.0016337872,-1.4655145,0.26795578,-1.4612726,0.25032613,-1.8042858,0.41473326,0.009828647,0.0016085079
4,5.75,1.986,0.379,-0.323,262.5,0.0282,0.003,0.0282067,0.0015869897,-1.4655145,0.26795578,-1.4612726,0.25032613,-1.8042858,0.41473326,0.009828647,0.0016085079
4,5.75,1.986,0.379,-0.323,277.5,0.0326,0.00324,0.0315772,0.0015460699,-1.4655145,0.26795578,-1.4612726,0.25032613,-1.8042858,0.41473326,0.009828647,0.0016085079
4,5.75,1.986,0.379,-0.323,292.5,0.0364,0.00372,0.03608243,0.0016093305,-1.4655145,0.26795578,-1.4612726,0.25032613,-1.8042858,0.41473326,0.009828647,0.0016085079
4,5.75,1.986,0.379,-0.323,307.5,0.0474,0.00456,0.04188451,0.0019821024,-1.4655145,0.26795578,-1.4612726,0.25032613,-1.8042858,0.41473326,0.009828647,0.0016085079
4,5.75,1.986,0.379,-0.323,322.5,0.046,0.00564,0.048779864,0.002789986,-1.4655145,0.26795578,-1.4612726,0.25032613,-1.8042858,0.41473326,0.009828647,0.0016085079
4,5.75,1.986,0.379,-0.323,337.5,0.0526,0.00756,0.055662837,0.0038369158,-1.4655145,0.26795578,-1.4612726,0.25032613,-1.8042858,0.41473326,0.009828647,0.0016085079
4,5.75,1.986,0.379,-0.323,352.5,0.05,0.00876,0.06024114,0.0046146065,-1.4655145,0.26795578,-1.4612726,0.25032613,-1.8042858,0.41473326,0.009828647,0.0016085079
5,5.75,1.999,0.381,-0.371,7.5,0.0706,0.01416,0.062450852,0.00619666,-1.1735883,0.37741154,-1.197216,0.33538347,-1.3652265,0.48372906,0.010357155,0.0017816545
5,5.75,1.999,0.381,-0.371,22.5,0.0663,0.01044,0.05593324,0.0049231765,-1.1735883,0.37741154,-1.197216,0.33538347,-1.3652265,0.48372906,0.010357155,0.0017816545
5,5.75,1.999,0.381,-0.371,37.5,0.0451,0.00684,0.046879265,0.0033258458,-1.1735883,0.37741154,-1.197216,0.33538347,-1.3652265,0.48372906,0.010357155,0.0017816545
5,5.75,1.999,0.381,-0.371,52.5,0.039,0.0054,0.03863825,0.002204702,-1.1735883,0.37741154,-1.197216,0.33538347,-1.3652265,0.48372906,0.010357155,0.0017816545
5,5.75,1.999,0.381,-0.371,67.5,0.041,0.00444,0.032307617,0.0017574292,-1.1735883,0.37741154,-1.197216,0.33538347,-1.3652265,0.48372906,0.010357155,0.0017816545
5,5.75,1.999,0.381,-0.371,82.5,0.0267,0.00348,0.02776069,0.0017088366,-1.1735883,0.37741154,-1.197216,0.33538347,-1.3652265,0.48372906,0.010357155,0.0017816545
5,5.75,1.999,0.381,-0.371,97.5,0.0292,0.00336,0.024568837,0.0017596137,-1.1735883,0.37741154,-1.197216,0.33538347,-1.3652265,0.48372906,0.010357155,0.0017816545
5,5.75,1.999,0.381,-0.371,112.5,0.0259,0.00312,0.022345928,0.0018031156,-1.1735883,0.37741154,-1.197216,0.33538347,-1.3652265,0.48372906,0.010357155,0.0017816545
5,5.75,1.999,0.381,-0.371,127.5,0.0214,0.00288,0.020814693,0.0018254743,-1.1735883,0.37741154,-1.197216,0.33538347,-1.3652265,0.48372906,0.010357155,0.0017816545
5,5.75,1.999,0.381,-0.371,142.5,0.0161,0.00288,0.019792361,0.0018336248,-1.1735883,0.37741154,-1.197216,0.33538347,-1.3652265,0.48372906,0.010357155,0.0017816545
5,5.75,1.999,0.381,-0.371,157.5,0.0135,0.00324,0.01916473,0.0018351611,-1.1735883,0.37741154,-1.197216,0.33538347,-1.3652265,0.48372906,0.010357155,0.0017816545
5,5.75,1.999,0.381,-0.371,172.5,0.0175,0.00384,0.018865937,0.0018348558,-1.1735883,0.37741154,-1.197216,0.33538347,-1.3652265,0.48372906,0.010357155,0.0017816545
5,5.75,1.999,0.381,-0.371,187.5,0.0205,0.00384,0.018865937,0.0018348558,-1.1735883,0.37741154,-1.197216,0.33538347,-1.3652265,0.48372906,0.010357155,0.0017816545
5,5.75,1.999,0.381,-0.371,202.5,0.0217,0.00348,0.01916473,0.0018351611,-1.1735883,0.37741154,-1.197216,0.33538347,-1.3652265,0.48372906,0.010357155,0.0017816545
5,5.75,1.999,0.381,-0.371,217.5,0.0265,0.00312,0.019792361,0.0018336248,-1.1735883,0.37741154,-1.197216,0.33538347,-1.3652265,0.48372906,0.010357155,0.0017816545
5,5.75,1.999,0.381,-0.371,232.5,0.0201,0.00264,0.020814694,0.0018254744,-1.1735883,0.37741154,-1.197216,0.33538347,-1.3652265,0.48372906,0.010357155,0.0017816545
5,5.75,1.999,0.381,-0.371,247.5,0.0257,0.00312,0.022345925,0.0018031156,-1.1735883,0.37741154,-1.197216,0.33538347,-1.3652265,0.48372906,0.010357155,0.0017816545
5,5.75,1.999,0.381,-0.371,262.5,0.0217,0.00312,0.024568828,0.0017596137,-1.1735883,0.37741154,-1.197216,0.33538347,-1.3652265,0.48372906,0.010357155,0.0017816545
5,5.75,1.999,0.381,-0.371,277.5,0.0262,0.00348,0.02776068,0.0017088366,-1.1735883,0.37741154,-1.197216,0.33538347,-1.3652265,0.48372906,0.010357155,0.0017816545
5,5.75,1.999,0.381,-0.371,292.5,0.0297,0.0042,0.032307617,0.0017574292,-1.1735883,0.37741154,-1.197216,0.33538347,-1.3652265,0.48372906,0.010357155,0.0017816545
5,5.75,1.999,0.381,-0.371,307.5,0.0338,0.00492,0.03863825,0.002204702,-1.1735883,0.37741154,-1.197216,0.33538347,-1.3652265,0.48372906,0.010357155,0.0017816545
5,5.75,1.999,0.381,-0.371,322.5,0.0396,0.00684,0.04687924,0.0033258433,-1.1735883,0.37741154,-1.197216,0.33538347,-1.3652265,0.48372906,0.010357155,0.0017816545
5,5.75,1.999,0.381,-0.371,337.5,0.0449,0.00984,0.055933252,0.004923175,-1.1735883,0.37741154,-1.197216,0.33538347,-1.3652265,0.48372906,0.010357155,0.0017816545
5,5.75,1.999,0.381,-0.371,352.5,0.0595,0.01392,0.062450867,0.006196659,-1.1735883,0.37741154,-1.197216,0.33538347,-1.3652265,0.48372906,0.010357155,0.0017816545
6,5.75,2.218,0.345,-0.176,7.5,0.1043,0.00432,0.10828207,0.0021789442,-1.029082,0.15358989,-1.0690267,0.15309983,-1.4033082,0.2085692,0.00834102,0.0013162771
6,5.75,2.218,0.345,-0.176,22.5,0.1086,0.00432,0.10389195,0.0020315847,-1.029082,0.15358989,-1.0690267,0.15309983,-1.4033082,0.2085692,0.00834102,0.0013162771
