set,k,QQ,x_b,t,phi_x,F,sigmaF,Mean F Prediction,Std Dev Prediction,ReH_pred,ReH_std,ReE_pred,ReE_std,ReHt_pred,ReHt_std,dvcs_pred,dvcs_std
120,5.75,1.94,0.274,-0.11,52.3,0.3762,0.04363,0.2896858,0.022742692,-2.9830465,1.3173637,-2.0770686,2.2491808,-0.49368733,6.7707095,0.0036304435,0.0090762
120,5.75,1.94,0.274,-0.11,67.28,0.3159,0.0486,0.2522153,0.013985678,-2.9830465,1.3173637,-2.0770686,2.2491808,-0.49368733,6.7707095,0.0036304435,0.0090762
120,5.75,1.94,0.274,-0.11,82.28,0.207,0.05414,0.21770896,0.007666417,-2.9830465,1.3173637,-2.0770686,2.2491808,-0.49368733,6.7707095,0.0036304435,0.0090762
120,5.75,1.94,0.274,-0.11,97.28,0.196,0.06549,0.18816045,0.0068101976,-2.9830465,1.3173637,-2.0770686,2.2491808,-0.49368733,6.7707095,0.0036304435,0.0090762
120,5.75,1.94,0.274,-0.11,112.3,0.0,0.0,0.16416098,0.0097587295,-2.9830465,1.3173637,-2.0770686,2.2491808,-0.49368733,6.7707095,0.0036304435,0.0090762
120,5.75,1.94,0.274,-0.11,127.33,0.0,0.0,0.14565016,0.012710614,-2.9830465,1.3173637,-2.0770686,2.2491808,-0.49368733,6.7707095,0.0036304435,0.0090762
120,5.75,1.94,0.274,-0.11,142.36,0.0,0.0,0.13227014,0.01487817,-2.9830465,1.3173637,-2.0770686,2.2491808,-0.49368733,6.7707095,0.0036304435,0.0090762
120,5.75,1.94,0.274,-0.11,157.41,0.0,0.0,0.12360334,0.016249679,-2.9830465,1.3173637,-2.0770686,2.2491808,-0.49368733,6.7707095,0.0036304435,0.0090762
120,5.75,1.94,0.274,-0.11,172.47,0.0,0.0,0.11935108,0.016907373,-2.9830465,1.3173637,-2.0770686,2.2491808,-0.49368733,6.7707095,0.0036304435,0.0090762
120,5.75,1.94,0.274,-0.11,187.53,0.0,0.0,0.11935108,0.016907373,-2.9830465,1.3173637,-2.0770686,2.2491808,-0.49368733,6.7707095,0.0036304435,0.0090762
120,5.75,1.94,0.274,-0.11,202.59,0.0,0.0,0.12360332,0.016249679,-2.9830465,1.3173637,-2.0770686,2.2491808,-0.49368733,6.7707095,0.0036304435,0.0090762
120,5.75,1.94,0.274,-0.11,217.64,0.0,0.0,0.13227014,0.0148781715,-2.9830465,1.3173637,-2.0770686,2.2491808,-0.49368733,6.7707095,0.0036304435,0.0090762
120,5.75,1.94,0.274,-0.11,232.67,0.0,0.0,0.14565015,0.012710624,-2.9830465,1.3173637,-2.0770686,2.2491808,-0.49368733,6.7707095,0.0036304435,0.0090762
